CorePointId,PointName,CoreSourceId,EquipmentName
29563,热通道温度-过高,755002864,FT202-L16-后
29565,热通道温度-过高,755002821,FT202-J19-后
29567,热通道温度-过高,755002824,FT202-J22-后
29569,热通道温度-过高,755002841,FT202-K16-后
29571,热通道温度-过高,755002801,FT202-H17-后
29573,热通道温度-过高,755002804,FT202-J02-后
29575,热通道温度-过高,755002818,FT202-J16-后
29577,热通道温度-过高,755002778,FT202-F02-后
29579,热通道温度-过高,755002781,FT202-F05-后
29581,热通道温度-过高,755002798,FT202-H14-后
29583,热通道温度-过高,755002741,FT202-C15-后
29585,热通道温度-过高,755002758,FT202-D11-后
29587,热通道温度-过高,755002761,FT202-D14-后
29589,热通道温度-过高,755002721,FT202-B18-后
29591,热通道温度-过高,755002735,FT202-C09-后
29593,热通道温度-过高,755002738,FT202-C12-后
29595,热通道温度-过高,755002698,FT202-A18-后
29597,热通道温度-过高,755002715,FT202-B12-后
29599,热通道温度-过高,755002718,FT202-B15-后
29601,热通道温度-过高,755002383,FT203-K03-后
29603,热通道温度-过高,755002386,FT203-K06-后
29605,热通道温度-过高,755002695,FT202-A15-后
29607,热通道温度-过高,755002360,FT203-H16-后
29609,热通道温度-过高,755002363,FT203-J02-后
29611,热通道温度-过高,755002366,FT203-J05-后
29613,热通道温度-过高,755002340,FT203-G08-后
29615,热通道温度-过高,755002343,FT203-G15-后
29617,热通道温度-过高,755002346,FT203-H02-后
29619,热通道温度-过高,755002303,FT203-E09-后
29621,热通道温度-过高,755002320,FT203-F07-后
29623,热通道温度-过高,755002323,FT203-F10-后
29625,热通道温度-过高,755002280,FT203-C15-后
29627,热通道温度-过高,755002283,FT203-C18-后
29629,热通道温度-过高,755002300,FT203-E06-后
29631,热通道温度-过高,755002260,FT203-B14-后
29633,热通道温度-过高,755002263,FT203-B17-后
29635,热通道温度-过高,755002277,FT203-C12-后
29637,热通道温度-过高,755002237,FT203-A10-后
29639,热通道温度-过高,755002240,FT203-A13-后
29641,热通道温度-过高,755002257,FT203-B11-后
29643,热通道温度-过高,755002396,FT203-K16-后
29645,热通道温度-过高,755002398,FT203-K18-后
29647,热通道温度-过高,755002399,FT203-K19-后
29649,热通道温度-过高,755002392,FT203-K12-后
29651,热通道温度-过高,755002393,FT203-K13-后
29653,热通道温度-过高,755002395,FT203-K15-后
29655,热通道温度-过高,755002387,FT203-K07-后
29657,热通道温度-过高,755002389,FT203-K09-后
29659,热通道温度-过高,755002390,FT203-K10-后
29661,热通道温度-过高,755002382,FT203-K02-后
29663,热通道温度-过高,755002384,FT203-K04-后
29665,热通道温度-过高,755002385,FT203-K05-后
29667,热通道温度-过高,755002378,FT203-J17-后
29669,热通道温度-过高,755002379,FT203-J18-后
29671,热通道温度-过高,755002381,FT203-K01-后
29673,热通道温度-过高,755002373,FT203-J12-后
29675,热通道温度-过高,755002375,FT203-J14-后
29677,热通道温度-过高,755002376,FT203-J15-后
29679,热通道温度-过高,755002369,FT203-J08-后
29681,热通道温度-过高,755002370,FT203-J09-后
29683,热通道温度-过高,755002372,FT203-J11-后
29685,热通道温度-过高,755002362,FT203-J01-后
29687,热通道温度-过高,755002364,FT203-J03-后
29689,热通道温度-过高,755002367,FT203-J06-后
29691,热通道温度-过高,755002358,FT203-H14-后
29693,热通道温度-过高,755002359,FT203-H15-后
29695,热通道温度-过高,755002361,FT203-H17-后
29697,热通道温度-过高,755002353,FT203-H09-后
29699,热通道温度-过高,755002355,FT203-H11-后
29701,热通道温度-过高,755002356,FT203-H12-后
29703,热通道温度-过高,755002349,FT203-H05-后
29705,热通道温度-过高,755002350,FT203-H06-后
29707,热通道温度-过高,755002352,FT203-H08-后
29709,热通道温度-过高,755002342,FT203-G14-后
29711,热通道温度-过高,755002344,FT203-G16-后
29713,热通道温度-过高,755002347,FT203-H03-后
29715,热通道温度-过高,755002338,FT203-G06-后
29717,热通道温度-过高,755002339,FT203-G07-后
29720,热通道温度-过高,755002341,FT203-G13-后
29721,热通道温度-过高,755002333,FT203-G01-后
29723,热通道温度-过高,755002335,FT203-G03-后
29725,热通道温度-过高,755002336,FT203-G04-后
29727,热通道温度-过高,755002329,FT203-F16-后
29729,热通道温度-过高,755002330,FT203-F17-后
29731,热通道温度-过高,755002332,FT203-F19-后
29733,热通道温度-过高,755002324,FT203-F11-后
29735,热通道温度-过高,755002326,FT203-F13-后
29737,热通道温度-过高,755002327,FT203-F14-后
